CMP:: Q:1, C:1, T:4.96038, F:1
CMP:: Q:1, C:1, T:5.04033, F:1
CMP:: Q:1, C:1, T:4.92625, F:1
CMP:: Q:2, C:1, T:13.2585, F:1
CMP:: Q:2, C:1, T:13.2172, F:1
CMP:: Q:2, C:1, T:13.3328, F:1
CMP:: Q:3, C:1, T:22.3596, F:1
CMP:: Q:3, C:1, T:22.4212, F:1
CMP:: Q:3, C:1, T:22.6399, F:1
CMP:: Q:4, C:1, T:21.1302, F:1
CMP:: Q:4, C:1, T:21.2229, F:1
CMP:: Q:4, C:1, T:21.1468, F:1
CMP:: Q:5, C:1, T:26.1766, F:1
CMP:: Q:5, C:1, T:26.0781, F:1
CMP:: Q:5, C:1, T:26.1337, F:1
CMP:: Q:6, C:1, T:92.5668, F:1
CMP:: Q:6, C:1, T:93.5909, F:1
CMP:: Q:6, C:1, T:92.9778, F:1
CMP:: Q:7, C:1, T:70.9, F:1
CMP:: Q:7, C:1, T:71.698, F:1
CMP:: Q:7, C:1, T:71.8801, F:1
CMP:: Q:8, C:1, T:32.1181, F:1
CMP:: Q:8, C:1, T:32.2213, F:1
CMP:: Q:8, C:1, T:32.1978, F:1
CMP:: Q:1, C:8, T:0.773571, F:1
CMP:: Q:1, C:8, T:0.803223, F:1
CMP:: Q:1, C:8, T:0.78456, F:1
CMP:: Q:2, C:8, T:1.92041, F:1
CMP:: Q:2, C:8, T:1.90587, F:1
CMP:: Q:2, C:8, T:1.86601, F:1
CMP:: Q:3, C:8, T:3.01261, F:1
CMP:: Q:3, C:8, T:3.07953, F:1
CMP:: Q:3, C:8, T:3.06869, F:1
CMP:: Q:4, C:8, T:2.88498, F:1
CMP:: Q:4, C:8, T:2.91631, F:1
CMP:: Q:4, C:8, T:2.84273, F:1
CMP:: Q:5, C:8, T:3.63232, F:1
CMP:: Q:5, C:8, T:3.62205, F:1
CMP:: Q:5, C:8, T:3.67825, F:1
CMP:: Q:6, C:8, T:13.8387, F:1
CMP:: Q:6, C:8, T:13.7175, F:1
CMP:: Q:6, C:8, T:13.7502, F:1
CMP:: Q:7, C:8, T:10.8733, F:1
CMP:: Q:7, C:8, T:10.8811, F:1
CMP:: Q:7, C:8, T:10.9721, F:1
CMP:: Q:8, C:8, T:5.20038, F:1
CMP:: Q:8, C:8, T:5.37108, F:1
CMP:: Q:8, C:8, T:5.28633, F:1
CMP:: Q:1, C:48, T:0.42586, F:1
CMP:: Q:1, C:48, T:0.414688, F:1
CMP:: Q:1, C:48, T:0.426165, F:1
CMP:: Q:2, C:48, T:0.716927, F:1
CMP:: Q:2, C:48, T:0.665397, F:1
CMP:: Q:2, C:48, T:0.670008, F:1
CMP:: Q:3, C:48, T:0.895079, F:1
CMP:: Q:3, C:48, T:0.913591, F:1
CMP:: Q:3, C:48, T:0.908693, F:1
CMP:: Q:4, C:48, T:0.902897, F:1
