CMP:: Q:4, C:8, T:1.97322, F:1
CMP:: Q:4, C:48, T:4.09171, F:100
CMP:: Q:4, C:48, T:4.09915, F:100
CMP:: Q:4, C:8, T:19.0605, F:100
CMP:: Q:4, C:8, T:19.425, F:100
CMP:: Q:4, C:1, T:135.77, F:100
CMP:: Q:4, C:1, T:140.755, F:100
CMP:: Q:4, C:48, T:0.678894, F:1
CMP:: Q:4, C:48, T:0.677927, F:1
CMP:: Q:4, C:8, T:1.93537, F:1
CMP:: Q:4, C:8, T:2.01545, F:1
CMP:: Q:4, C:1, T:13.8657, F:1
CMP:: Q:4, C:1, T:13.9205, F:1
CMP:: Q:4, C:48, T:4.08266, F:100
CMP:: Q:4, C:48, T:4.05271, F:100
CMP:: Q:4, C:8, T:19.1079, F:100
CMP:: Q:4, C:8, T:19.2095, F:100
CMP:: Q:4, C:1, T:138.324, F:100
CMP:: Q:4, C:1, T:136.43, F:100
CMP:: Q:4, C:48, T:0.72752, F:1
CMP:: Q:4, C:48, T:0.67494, F:1
CMP:: Q:4, C:8, T:1.94015, F:1
CMP:: Q:4, C:8, T:1.94504, F:1
CMP:: Q:4, C:1, T:14.4103, F:1
CMP:: Q:4, C:1, T:13.9346, F:1
